,Batch,Input_Feature,Length,Hidden_Feature,Layer,Bidirectional,Device,Time,Mult-Adds,Params
77,1,16,2048,1024,2,False,cuda,0.29588817358016967,25937575936,12664832
78,1,16,2048,1024,4,True,cuda,1.1722862505912781,172201345024,84082688
79,1,16,2048,1024,4,False,cuda,0.5685452938079834,60330868736,29458432
80,1,64,16,16,2,True,cuda,0.00026414632797241213,270336,16896
81,1,64,16,16,2,False,cuda,0.0002041459083557129,118784,7424
82,1,64,16,16,4,True,cuda,0.0002899169921875,475136,29696
83,1,64,16,16,4,False,cuda,0.00022729873657226563,188416,11776
84,1,64,16,64,2,True,cuda,0.0003130936622619629,2654208,165888
85,1,64,16,64,2,False,cuda,0.0001984548568725586,1064960,66560
86,1,64,16,64,4,True,cuda,0.00038326025009155273,5832704,364544
87,1,64,16,64,4,False,cuda,0.0002685856819152832,2129920,133120
88,1,64,16,256,2,True,cuda,0.0007698965072631836,35782656,2236416
89,1,64,16,256,2,False,cuda,0.0005249786376953125,13697024,856064
90,1,64,16,256,4,True,cuda,0.0012624812126159667,86245376,5390336
91,1,64,16,256,4,False,cuda,0.0008971714973449708,30539776,1908736
92,1,64,16,1024,2,True,cuda,0.0050827693939208985,545783808,34111488
93,1,64,16,1024,2,False,cuda,0.0027336812019348143,205783040,12861440
94,1,64,16,1024,4,True,cuda,0.01056560754776001,1351614464,84475904
95,1,64,16,1024,4,False,cuda,0.00545379638671875,474480640,29655040
96,1,64,64,16,2,True,cuda,0.0003990006446838379,1081344,16896
97,1,64,64,16,2,False,cuda,0.0002548050880432129,475136,7424
98,1,64,64,16,4,True,cuda,0.0005413556098937989,1900544,29696
99,1,64,64,16,4,False,cuda,0.000350649356842041,753664,11776
100,1,64,64,64,2,True,cuda,0.00043572664260864256,10616832,165888
101,1,64,64,64,2,False,cuda,0.0003055238723754883,4259840,66560
102,1,64,64,64,4,True,cuda,0.0006863236427307129,23330816,364544
103,1,64,64,64,4,False,cuda,0.0004066109657287598,8519680,133120
104,1,64,64,256,2,True,cuda,0.0022015380859375,143130624,2236416
105,1,64,64,256,2,False,cuda,0.0014237451553344726,54788096,856064
106,1,64,64,256,4,True,cuda,0.0042060017585754395,344981504,5390336
107,1,64,64,256,4,False,cuda,0.002411396503448486,122159104,1908736
108,1,64,64,1024,2,True,cuda,0.018859033584594728,2183135232,34111488
109,1,64,64,1024,2,False,cuda,0.009981327056884766,823132160,12861440
110,1,64,64,1024,4,True,cuda,0.03888826131820679,5406457856,84475904
111,1,64,64,1024,4,False,cuda,0.01976280450820923,1897922560,29655040
112,1,64,256,16,2,True,cuda,0.001000988483428955,4325376,16896
113,1,64,256,16,2,False,cuda,0.0006086826324462891,1900544,7424
114,1,64,256,16,4,True,cuda,0.0014996194839477538,7602176,29696
115,1,64,256,16,4,False,cuda,0.0009163904190063476,3014656,11776
116,1,64,256,64,2,True,cuda,0.0011039376258850098,42467328,165888
117,1,64,256,64,2,False,cuda,0.0007417416572570801,17039360,66560
118,1,64,256,64,4,True,cuda,0.001781902313232422,93323264,364544
119,1,64,256,64,4,False,cuda,0.001037757396697998,34078720,133120
120,1,64,256,256,2,True,cuda,0.007676186561584472,572522496,2236416
121,1,64,256,256,2,False,cuda,0.0043897867202758786,219152384,856064
122,1,64,256,256,4,True,cuda,0.014699440002441406,1379926016,5390336
123,1,64,256,256,4,False,cuda,0.008603105545043946,488636416,1908736
124,1,64,256,1024,2,True,cuda,0.07381358623504639,8732540928,34111488
125,1,64,256,1024,2,False,cuda,0.03708064556121826,3292528640,12861440
126,1,64,256,1024,4,True,cuda,0.15122300624847412,21625831424,84475904
127,1,64,256,1024,4,False,cuda,0.07266205310821533,7591690240,29655040
128,1,64,1024,16,2,True,cuda,0.003145296573638916,17301504,16896
129,1,64,1024,16,2,False,cuda,0.002025282382965088,7602176,7424
130,1,64,1024,16,4,True,cuda,0.00527064561843872,30408704,29696
131,1,64,1024,16,4,False,cuda,0.0029516053199768067,12058624,11776
132,1,64,1024,64,2,True,cuda,0.003483099937438965,169869312,165888
133,1,64,1024,64,2,False,cuda,0.002167365550994873,68157440,66560
134,1,64,1024,64,4,True,cuda,0.0059647679328918455,373293056,364544
135,1,64,1024,64,4,False,cuda,0.003376889228820801,136314880,133120
136,1,64,1024,256,2,True,cuda,0.028951146602630616,2290089984,2236416
137,1,64,1024,256,2,False,cuda,0.020299715995788573,876609536,856064
138,1,64,1024,256,4,True,cuda,0.06466531753540039,5519704064,5390336
139,1,64,1024,256,4,False,cuda,0.03216304063796997,1954545664,1908736
140,1,64,1024,1024,2,True,cuda,0.2915969395637512,34930163712,34111488
141,1,64,1024,1024,2,False,cuda,0.14830965518951417,13170114560,12861440
142,1,64,1024,1024,4,True,cuda,0.5906761765480042,86503325696,84475904
143,1,64,1024,1024,4,False,cuda,0.285497624874115,30366760960,29655040
144,1,64,2048,16,2,True,cuda,0.006040050983428955,34603008,16896
145,1,64,2048,16,2,False,cuda,0.0036598730087280275,15204352,7424
146,1,64,2048,16,4,True,cuda,0.010321784019470214,60817408,29696
147,1,64,2048,16,4,False,cuda,0.005696609020233155,24117248,11776
148,1,64,2048,64,2,True,cuda,0.006651501655578613,339738624,165888
149,1,64,2048,64,2,False,cuda,0.003965427875518799,136314880,66560
150,1,64,2048,64,4,True,cuda,0.01171804428100586,746586112,364544
151,1,64,2048,64,4,False,cuda,0.007488076686859131,272629760,133120
152,1,64,2048,256,2,True,cuda,0.0657666802406311,4580179968,2236416
153,1,64,2048,256,2,False,cuda,0.032728188037872315,1753219072,856064
154,1,64,2048,256,4,True,cuda,0.13816874265670775,11039408128,5390336
155,1,64,2048,256,4,False,cuda,0.07704541206359863,3909091328,1908736
156,1,64,2048,1024,2,True,cuda,0.580005190372467,69860327424,34111488
157,1,64,2048,1024,2,False,cuda,0.2969536256790161,26340229120,12861440
158,1,64,2048,1024,4,True,cuda,1.1745135116577148,173006651392,84475904
159,1,64,2048,1024,4,False,cuda,0.569241840839386,60733521920,29655040
160,1,256,16,16,2,True,cuda,0.00024435520172119143,663552,41472
161,1,256,16,16,2,False,cuda,0.00020653963088989257,315392,19712
162,1,256,16,16,4,True,cuda,0.0002787399291992187,868352,54272
163,1,256,16,16,4,False,cuda,0.0002164149284362793,385024,24064
164,1,256,16,64,2,True,cuda,0.00027904510498046877,4227072,264192
