,Batch,Input_Feature,Length,Output_Feature,Device,Time,Mult-Adds,Params
86,1,1024,256,64,cuda,0.00010015249252319336,65600,65600
87,1,1024,256,256,cuda,7.134199142456055e-05,262400,262400
88,1,1024,256,1024,cuda,0.00014113426208496095,1049600,1049600
89,1,1024,256,2048,cuda,0.000267951488494873,2099200,2099200
90,1,1024,1024,16,cuda,7.391691207885742e-05,16400,16400
91,1,1024,1024,64,cuda,0.00011091232299804687,65600,65600
92,1,1024,1024,256,cuda,0.00018438339233398438,262400,262400
93,1,1024,1024,1024,cuda,0.0005770111083984375,1049600,1049600
94,1,1024,1024,2048,cuda,0.0011344814300537109,2099200,2099200
95,1,1024,2048,16,cuda,0.0001609039306640625,16400,16400
96,1,1024,2048,64,cuda,0.00014981985092163086,65600,65600
97,1,1024,2048,256,cuda,0.00030366897583007814,262400,262400
98,1,1024,2048,1024,cuda,0.0011634182929992675,1049600,1049600
99,1,1024,2048,2048,cuda,0.0022558140754699706,2099200,2099200
100,1,2048,16,16,cuda,5.150794982910156e-05,32784,32784
101,1,2048,16,64,cuda,5.088090896606445e-05,131136,131136
102,1,2048,16,256,cuda,7.032155990600586e-05,524544,524544
103,1,2048,16,1024,cuda,0.0001700615882873535,2098176,2098176
104,1,2048,16,2048,cuda,0.0001409769058227539,4196352,4196352
105,1,2048,64,16,cuda,4.29844856262207e-05,32784,32784
106,1,2048,64,64,cuda,4.6017169952392576e-05,131136,131136
107,1,2048,64,256,cuda,6.125688552856445e-05,524544,524544
108,1,2048,64,1024,cuda,0.00012174606323242187,2098176,2098176
109,1,2048,64,2048,cuda,0.0001731991767883301,4196352,4196352
110,1,2048,256,16,cuda,4.9591064453125e-05,32784,32784
111,1,2048,256,64,cuda,0.00011966943740844727,131136,131136
112,1,2048,256,256,cuda,0.00014037132263183594,524544,524544
113,1,2048,256,1024,cuda,0.0002489376068115234,2098176,2098176
114,1,2048,256,2048,cuda,0.0007399606704711914,4196352,4196352
115,1,2048,1024,16,cuda,0.00012336969375610353,32784,32784
116,1,2048,1024,64,cuda,0.0001774120330810547,131136,131136
117,1,2048,1024,256,cuda,0.00030662298202514647,524544,524544
118,1,2048,1024,1024,cuda,0.0011896538734436036,2098176,2098176
119,1,2048,1024,2048,cuda,0.0022887539863586425,4196352,4196352
120,1,2048,2048,16,cuda,0.00018185138702392578,32784,32784
121,1,2048,2048,64,cuda,0.00022319793701171874,131136,131136
122,1,2048,2048,256,cuda,0.0006212997436523438,524544,524544
123,1,2048,2048,1024,cuda,0.002250022888183594,2098176,2098176
124,1,2048,2048,2048,cuda,0.004879429340362549,4196352,4196352
